agent_id,state,entry_time,exit_time,dwell_time,state_name,going_to_state_id,going_to_state,age,dwell_time_raw
323,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,85.242935,0.0
325,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,16.744173,0.0
327,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,70.917885,0.0
329,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,51.796185,0.0
333,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,75.20448,0.0
334,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,69.11034,0.0
336,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,95.30236,0.0
337,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,81.73509,0.0
343,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,1.1502504,0.0
354,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,76.410255,0.0
367,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,65.718666,0.0
369,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,97.63916,0.0
374,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,59.075153,0.0
378,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,78.249855,0.0
380,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,38.88232,0.0
382,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,77.47713,0.0
385,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,25.583054,0.0
387,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,72.31076,0.0
390,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,81.62715,0.0
391,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,34.585476,0.0
392,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,54.074043,0.0
394,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,88.46617,0.0
395,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,82.3605,0.0
397,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,51.93696,0.0
402,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,58.517838,0.0
406,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,42.761242,0.0
409,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,13.064891,0.0
412,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,63.201416,0.0
418,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,46.22702,0.0
422,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,30.38212,0.0
431,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,87.788185,0.0
432,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,41.556595,0.0
435,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,49.88377,0.0
447,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,23.650562,0.0
454,-1.0,0.0,0,0.0,-1.0.None,1.0,1.0.Latent Fast,68.51695,0.0
455,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,14.991034,0.0
457,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,53.87678,0.0
461,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,39.546024,0.0
463,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,91.314224,0.0
464,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,82.36949,0.0
469,-1.0,0.0,0,0.0,-1.0.None,0.0,0.0.Latent Slow,68.26841,0.0
